Height,Weight,Age,Gender,Activity_Level,Body_Fat,Goal,BMI,Plan
191,97,28,0,1.375,8.56,Strength,26.59,Lean
198,108,39,1,1.375,31.04,Strength,27.55,Cut
177,82,38,0,1.725,27.77,Strength,26.17,Cut
180,108,27,1,1.55,30.22,Health,33.33,Cut
158,51,45,0,1.2,14.86,Strength,20.43,Bulk
178,66,46,1,1.2,30,Aesthetics,20.83,Cut
163,85,43,0,1.55,27.08,Strength,31.99,Cut
189,118,37,0,1.55,19.72,Health,33.03,Recomp
190,54,59,0,1.2,22.01,Aesthetics,14.96,Cut
171,101,43,0,1.375,26.17,Strength,34.54,Cut
160,51,28,1,1.375,23.79,Aesthetics,19.92,Cut
172,94,40,0,1.55,28.54,Strength,31.77,Cut
150,96,59,0,1.2,13.79,Health,42.67,Lean
195,77,22,1,1.55,25.3,Aesthetics,20.25,Cut
186,45,21,0,1.375,22.41,Strength,13.01,Cut
170,97,39,1,1.725,22.75,Strength,33.56,Cut
175,104,34,1,1.725,23.02,Aesthetics,33.96,Cut
195,78,34,0,1.375,36.21,Aesthetics,20.51,Cut
185,48,51,0,1.55,34.2,Aesthetics,14.02,Cut
172,61,24,1,1.725,28.15,Aesthetics,20.62,Cut
150,48,51,0,1.375,30.93,Strength,21.33,Cut
189,87,53,1,1.2,9.37,Strength,24.36,Lean
164,48,55,0,1.55,31.81,Strength,17.85,Cut
170,45,44,0,1.55,23.56,Health,15.57,Cut
196,115,39,1,1.725,18.17,Aesthetics,29.94,Lean
158,94,20,0,1.55,12.47,Strength,37.65,Lean
158,117,57,0,1.725,10.41,Aesthetics,46.87,Lean
159,105,41,0,1.725,9.44,Aesthetics,41.53,Lean
175,79,29,1,1.375,13.18,Strength,25.8,Lean
190,52,54,0,1.725,8.96,Aesthetics,14.4,Bulk
184,68,44,1,1.2,31.44,Aesthetics,20.09,Cut
174,80,21,0,1.55,15.96,Aesthetics,26.42,Lean
175,94,22,1,1.725,19.8,Aesthetics,30.69,Lean
160,87,52,0,1.55,34.33,Aesthetics,33.98,Cut
187,71,33,0,1.725,11.67,Strength,20.3,Bulk
151,76,38,1,1.375,34.74,Strength,33.33,Cut
156,62,59,0,1.2,28.47,Aesthetics,25.48,Cut
167,72,53,1,1.55,18.94,Aesthetics,25.82,Lean
176,73,16,0,1.375,11.77,Aesthetics,23.57,Lean
183,60,19,1,1.55,10.93,Health,17.92,Bulk
176,91,59,0,1.375,18.74,Aesthetics,29.38,Lean
166,103,50,1,1.2,12.49,Health,37.38,Lean
192,75,38,0,1.725,16.57,Health,20.35,Lean
193,48,42,1,1.375,9.69,Health,12.89,Bulk
173,81,41,1,1.55,27.04,Strength,27.06,Cut
174,61,23,0,1.55,12.65,Health,20.15,Bulk
156,83,58,1,1.375,32.22,Aesthetics,34.11,Cut
155,92,31,1,1.2,14.98,Aesthetics,38.29,Lean
173,90,56,0,1.2,33.54,Strength,30.07,Cut
182,92,18,0,1.725,14.08,Strength,27.77,Lean
198,83,47,0,1.725,31.08,Aesthetics,21.17,Cut
178,48,20,0,1.55,18.66,Strength,15.15,Lean
192,74,35,0,1.55,26.66,Strength,20.07,Cut
171,74,29,0,1.725,9.24,Health,25.31,Lean
175,66,47,1,1.725,23.85,Health,21.55,Cut
177,119,41,1,1.725,12.76,Strength,37.98,Lean
199,110,21,1,1.375,23.56,Aesthetics,27.78,Cut
170,56,51,0,1.725,12.52,Health,19.38,Bulk
198,80,55,0,1.375,21.99,Aesthetics,20.41,Lean
156,62,20,1,1.375,11.54,Strength,25.48,Lean
166,97,28,1,1.725,15.04,Aesthetics,35.2,Lean
169,115,47,0,1.2,27.04,Aesthetics,40.26,Cut
190,45,31,1,1.2,39.25,Aesthetics,12.47,Cut
198,102,16,0,1.55,22.37,Aesthetics,26.02,Cut
169,50,28,0,1.725,29.99,Strength,17.51,Cut
171,114,26,1,1.55,25.26,Strength,38.99,Cut
177,88,23,0,1.725,23.95,Health,28.09,Cut
189,116,40,0,1.55,10.07,Health,32.47,Lean
198,68,55,0,1.375,12.62,Health,17.35,Bulk
156,63,47,0,1.725,36.26,Health,25.89,Cut
150,62,39,1,1.2,21.13,Aesthetics,27.56,Lean
181,74,43,0,1.725,27.66,Health,22.59,Cut
162,86,29,0,1.55,24.9,Health,32.77,Cut
179,77,18,1,1.55,20.12,Aesthetics,24.03,Lean
172,118,51,0,1.55,20.41,Strength,39.89,Lean
168,56,42,0,1.55,25.77,Health,19.84,Cut
181,71,35,1,1.55,12.52,Strength,21.67,Bulk
179,83,30,1,1.55,20.39,Health,25.9,Recomp
178,53,42,0,1.2,22.3,Strength,16.73,Cut
198,65,56,0,1.55,39.52,Health,16.58,Cut
194,73,43,1,1.2,19.25,Strength,19.4,Lean
178,77,40,0,1.725,28.63,Strength,24.3,Cut
179,106,57,0,1.375,12.4,Health,33.08,Lean
165,59,59,0,1.2,10.1,Strength,21.67,Bulk
189,46,48,1,1.725,35.89,Health,12.88,Cut
168,96,29,0,1.375,31.38,Health,34.01,Cut
167,88,23,1,1.2,18.16,Aesthetics,31.55,Lean
150,98,29,1,1.2,24.15,Health,43.56,Cut
163,62,16,1,1.725,12.34,Health,23.34,Lean
196,47,31,1,1.55,30.63,Health,12.23,Cut
199,51,33,0,1.2,10.25,Health,12.88,Bulk
151,87,22,1,1.2,32.23,Aesthetics,38.16,Cut
177,82,30,0,1.725,25.5,Aesthetics,26.17,Cut
198,81,39,1,1.55,16.92,Aesthetics,20.66,Lean
199,102,28,1,1.375,35.6,Aesthetics,25.76,Cut
179,77,24,0,1.55,39.55,Strength,24.03,Cut
187,103,30,1,1.55,16.14,Health,29.45,Lean
153,55,50,1,1.725,33.8,Aesthetics,23.5,Cut
150,112,39,0,1.55,32.01,Health,49.78,Cut
157,112,48,1,1.725,31.91,Aesthetics,45.44,Cut
178,66,31,1,1.375,38.63,Health,20.83,Cut
188,110,23,1,1.2,23.57,Strength,31.12,Cut
152,88,44,0,1.2,29.57,Aesthetics,38.09,Cut
181,50,38,1,1.725,34.36,Strength,15.26,Cut
159,86,46,0,1.725,23.35,Strength,34.02,Cut
159,69,55,0,1.55,23.41,Health,27.29,Cut
168,101,29,0,1.55,18.2,Aesthetics,35.79,Lean
195,99,45,1,1.2,32.99,Strength,26.04,Cut
183,60,54,1,1.2,29.96,Health,17.92,Cut
182,58,42,1,1.2,22.44,Health,17.51,Cut
172,83,31,1,1.725,21.42,Health,28.06,Recomp
177,72,21,0,1.375,10.32,Strength,22.98,Bulk
181,95,48,0,1.375,8.21,Health,29,Lean
199,93,59,1,1.725,24.92,Health,23.48,Cut
156,53,33,1,1.55,21.36,Health,21.78,Recomp
178,102,31,0,1.375,33.47,Strength,32.19,Cut
157,89,27,1,1.55,25.36,Health,36.11,Cut
150,66,35,1,1.2,37.97,Strength,29.33,Cut
152,76,55,1,1.2,14.28,Health,32.89,Lean
173,113,44,1,1.55,39.68,Strength,37.76,Cut
172,113,45,1,1.2,17.53,Strength,38.2,Lean
157,86,41,1,1.725,28.56,Aesthetics,34.89,Cut
196,97,37,0,1.55,24.06,Aesthetics,25.25,Cut
186,103,48,0,1.55,19.51,Aesthetics,29.77,Lean
152,118,54,0,1.55,12.46,Strength,51.07,Lean
182,83,44,0,1.375,12.31,Health,25.06,Lean
177,59,37,1,1.55,30.77,Health,18.83,Cut
196,115,28,1,1.55,20.08,Strength,29.94,Lean
157,73,24,0,1.55,38.76,Health,29.62,Cut
183,47,39,0,1.375,18.42,Strength,14.03,Lean
184,54,30,0,1.2,39.47,Health,15.95,Cut
181,73,51,0,1.375,14.57,Strength,22.28,Bulk
173,79,28,0,1.725,11.29,Aesthetics,26.4,Lean
163,50,42,1,1.55,18,Aesthetics,18.82,Lean
181,56,59,1,1.725,36.34,Health,17.09,Cut
195,82,52,0,1.375,24.7,Health,21.56,Cut
192,63,22,0,1.2,12.34,Health,17.09,Bulk
165,111,23,1,1.2,14.48,Health,40.77,Lean
153,52,52,1,1.55,17.96,Aesthetics,22.21,Lean
186,52,56,1,1.2,26.89,Aesthetics,15.03,Cut
170,91,29,0,1.375,18.64,Strength,31.49,Lean
163,48,27,1,1.375,31.91,Health,18.07,Cut
180,95,51,0,1.2,27.72,Aesthetics,29.32,Cut
197,111,55,0,1.55,35.96,Strength,28.6,Cut
167,89,32,1,1.55,24.03,Strength,31.91,Cut
156,52,55,1,1.375,18.6,Strength,21.37,Lean
159,60,44,1,1.2,39.88,Aesthetics,23.73,Cut
156,111,42,0,1.375,19.38,Strength,45.61,Lean
182,53,16,1,1.375,21.72,Health,16,Recomp
172,104,49,1,1.725,33.89,Strength,35.15,Cut
170,115,19,0,1.375,10.84,Strength,39.79,Lean
168,59,39,1,1.55,20.37,Aesthetics,20.9,Lean
197,115,36,1,1.2,10.74,Strength,29.63,Lean
168,85,48,0,1.2,12.46,Aesthetics,30.12,Lean
185,66,22,0,1.725,8.15,Aesthetics,19.28,Bulk
178,68,16,0,1.725,8.31,Health,21.46,Bulk
167,88,56,0,1.55,20.17,Strength,31.55,Lean
151,45,18,0,1.725,33.89,Health,19.74,Cut
150,54,59,1,1.375,26.78,Health,24,Cut
196,116,30,1,1.375,28.32,Strength,30.2,Cut
154,100,46,0,1.55,24.62,Strength,42.17,Cut
169,94,31,1,1.2,34.23,Aesthetics,32.91,Cut
160,56,25,1,1.55,36.17,Strength,21.87,Cut
191,104,44,0,1.725,35.19,Aesthetics,28.51,Cut
151,70,21,0,1.2,33.99,Health,30.7,Cut
152,85,44,0,1.2,13.85,Health,36.79,Lean
172,80,32,1,1.2,27,Aesthetics,27.04,Cut
161,67,37,0,1.725,26.63,Strength,25.85,Cut
169,87,39,1,1.375,24.89,Strength,30.46,Cut
154,50,32,1,1.375,23.39,Aesthetics,21.08,Cut
186,113,36,1,1.725,10.85,Health,32.66,Lean
187,87,26,1,1.725,11.27,Aesthetics,24.88,Lean
179,69,22,0,1.55,36.87,Strength,21.53,Cut
158,62,57,1,1.55,28.17,Strength,24.84,Cut
183,106,54,0,1.375,16.39,Aesthetics,31.65,Lean
193,57,20,1,1.725,16.94,Strength,15.3,Lean
184,87,59,0,1.55,27.53,Health,25.7,Cut
171,72,36,0,1.725,21.02,Aesthetics,24.62,Lean
193,62,33,0,1.725,22.12,Health,16.64,Cut
173,103,50,1,1.375,9.94,Health,34.41,Lean
166,104,35,1,1.375,12.44,Aesthetics,37.74,Lean
159,107,30,1,1.725,20.59,Aesthetics,42.32,Lean
179,101,20,0,1.2,30.39,Strength,31.52,Cut
195,95,28,1,1.2,9.54,Strength,24.98,Lean
172,100,27,1,1.725,18.71,Aesthetics,33.8,Lean
181,71,36,1,1.375,30.24,Aesthetics,21.67,Cut
166,76,52,0,1.2,33.35,Strength,27.58,Cut
199,53,21,1,1.375,14.09,Strength,13.38,Bulk
166,112,22,1,1.2,31.41,Strength,40.64,Cut
163,90,41,0,1.725,38.57,Aesthetics,33.87,Cut
158,111,57,0,1.55,37.02,Aesthetics,44.46,Cut
189,70,23,0,1.55,33.26,Strength,19.6,Cut
151,52,24,0,1.375,30.79,Health,22.81,Cut
194,50,42,0,1.375,15.52,Health,13.29,Lean
174,68,19,0,1.2,28.28,Strength,22.46,Cut
188,92,36,1,1.725,28.58,Aesthetics,26.03,Cut
158,89,46,1,1.2,21.02,Aesthetics,35.65,Lean
171,57,36,0,1.725,23.78,Health,19.49,Cut
192,113,55,1,1.725,30.21,Strength,30.65,Cut
195,69,40,0,1.375,38.47,Health,18.15,Cut
153,64,54,1,1.55,17.45,Health,27.34,Lean
175,110,30,0,1.55,15.88,Strength,35.92,Lean
178,118,50,0,1.375,27.26,Health,37.24,Cut
194,89,58,1,1.55,12.19,Aesthetics,23.65,Lean
183,91,56,1,1.375,26.64,Health,27.17,Cut
172,107,52,1,1.2,10.84,Strength,36.17,Lean
186,99,57,1,1.725,23.7,Aesthetics,28.62,Cut
160,119,43,1,1.55,27.85,Aesthetics,46.48,Cut
155,63,29,1,1.55,10.24,Health,26.22,Lean
167,79,19,1,1.2,14.62,Aesthetics,28.33,Lean
170,97,35,1,1.2,18.73,Strength,33.56,Lean
191,70,49,0,1.55,19.8,Health,19.19,Recomp
185,58,27,1,1.55,29.64,Aesthetics,16.95,Cut
190,89,48,1,1.375,24.93,Strength,24.65,Cut
187,88,39,0,1.375,20.23,Health,25.17,Recomp
183,109,35,0,1.55,22.42,Strength,32.55,Cut
166,95,20,0,1.375,8.42,Aesthetics,34.48,Lean
186,87,53,0,1.2,32.66,Health,25.15,Cut
174,67,45,1,1.725,9.31,Health,22.13,Bulk
187,100,39,1,1.375,34.54,Aesthetics,28.6,Cut
161,63,58,0,1.725,25.31,Strength,24.3,Cut
172,99,55,0,1.375,24.89,Aesthetics,33.46,Cut
191,104,22,1,1.55,30.55,Health,28.51,Cut
171,103,51,1,1.375,35.51,Health,35.22,Cut
170,77,53,1,1.725,38.16,Aesthetics,26.64,Cut
176,63,31,1,1.725,25.39,Strength,20.34,Cut
180,72,30,0,1.55,12.82,Aesthetics,22.22,Bulk
155,96,38,1,1.725,36.12,Strength,39.96,Cut
176,93,27,0,1.55,9.3,Strength,30.02,Lean
189,81,44,0,1.55,33.83,Health,22.68,Cut
183,70,59,0,1.725,29.77,Strength,20.9,Cut
161,84,30,1,1.2,36.95,Health,32.41,Cut
194,82,44,0,1.725,36.72,Strength,21.79,Cut
156,98,58,1,1.725,9.7,Strength,40.27,Lean
159,66,36,0,1.375,27.5,Health,26.11,Cut
194,60,30,1,1.725,11.99,Strength,15.94,Bulk
166,72,29,0,1.375,10.51,Aesthetics,26.13,Lean
175,79,57,0,1.375,22.34,Strength,25.8,Cut
170,104,59,1,1.725,11.12,Health,35.99,Lean
177,89,31,1,1.55,31.29,Health,28.41,Cut
195,90,30,0,1.2,39.01,Aesthetics,23.67,Cut
151,116,57,0,1.725,26.23,Strength,50.87,Cut
192,99,19,1,1.725,15.53,Aesthetics,26.86,Lean
150,70,42,0,1.55,34.98,Strength,31.11,Cut
185,69,38,1,1.375,35.3,Aesthetics,20.16,Cut
175,109,44,1,1.55,31.45,Health,35.59,Cut
178,50,56,0,1.55,27.68,Health,15.78,Cut
170,67,24,1,1.375,35.77,Aesthetics,23.18,Cut
160,108,58,0,1.725,13.23,Strength,42.19,Lean
189,87,58,1,1.55,37.81,Strength,24.36,Cut
160,67,22,1,1.55,38.31,Health,26.17,Cut
185,74,57,0,1.725,35.9,Strength,21.62,Cut
198,62,19,1,1.725,16.02,Aesthetics,15.81,Lean
188,65,20,0,1.2,35.46,Aesthetics,18.39,Cut
189,101,20,1,1.55,23.92,Strength,28.27,Cut
184,67,26,1,1.2,27.04,Health,19.79,Cut
183,89,56,1,1.375,34.9,Health,26.58,Cut
196,88,43,1,1.725,8.95,Health,22.91,Bulk
173,91,31,0,1.725,19.61,Health,30.41,Recomp
171,84,56,1,1.2,34.1,Health,28.73,Cut
154,95,45,1,1.55,34.05,Aesthetics,40.06,Cut
182,86,19,1,1.375,35.16,Strength,25.96,Cut
185,51,17,0,1.55,13.41,Aesthetics,14.9,Bulk
196,94,18,0,1.55,30.59,Health,24.47,Cut
169,92,36,0,1.2,12.69,Health,32.21,Lean
168,50,21,0,1.55,33.12,Strength,17.72,Cut
184,53,58,1,1.2,15.84,Strength,15.65,Lean
192,101,33,1,1.725,31.61,Strength,27.4,Cut
166,75,59,1,1.725,22.56,Aesthetics,27.22,Cut
194,65,20,0,1.725,39.56,Strength,17.27,Cut
192,84,24,0,1.375,26.56,Aesthetics,22.79,Cut
183,89,35,1,1.375,28.24,Health,26.58,Cut
158,93,43,1,1.55,19.78,Aesthetics,37.25,Lean
175,64,41,1,1.2,31.5,Strength,20.9,Cut
151,61,33,0,1.55,23.84,Aesthetics,26.75,Cut
158,72,34,1,1.725,8.58,Aesthetics,28.84,Lean
158,85,18,1,1.55,27.47,Aesthetics,34.05,Cut
189,110,24,0,1.55,34.57,Strength,30.79,Cut
166,69,51,0,1.55,15.58,Aesthetics,25.04,Lean
150,102,46,1,1.725,15.07,Strength,45.33,Lean
174,85,32,0,1.2,27.48,Aesthetics,28.08,Cut
192,50,38,1,1.55,34.18,Aesthetics,13.56,Cut
189,119,49,1,1.725,15.99,Aesthetics,33.31,Lean
191,82,56,1,1.375,37.83,Strength,22.48,Cut
174,50,56,1,1.2,37.68,Strength,16.51,Cut
188,89,20,0,1.725,14.42,Strength,25.18,Lean
184,119,30,0,1.55,16.44,Health,35.15,Lean
152,58,18,0,1.725,30.42,Strength,25.1,Cut
199,110,34,1,1.2,38.46,Aesthetics,27.78,Cut
186,84,43,1,1.55,30.72,Health,24.28,Cut
193,47,18,1,1.375,22.24,Strength,12.62,Cut
193,68,53,0,1.375,13.41,Strength,18.26,Bulk
179,63,19,0,1.375,22.75,Health,19.66,Cut
187,62,39,1,1.725,27.42,Health,17.73,Cut
183,108,46,0,1.2,18.59,Strength,32.25,Lean
161,79,26,0,1.375,24.33,Health,30.48,Cut
168,106,52,0,1.55,12.17,Aesthetics,37.56,Lean
186,45,16,0,1.55,22.47,Aesthetics,13.01,Cut
193,69,24,1,1.55,10.9,Aesthetics,18.52,Bulk
198,89,32,0,1.725,9.57,Strength,22.7,Bulk
166,93,16,1,1.2,35.43,Aesthetics,33.75,Cut
159,60,18,0,1.2,14.56,Health,23.73,Lean
198,63,41,1,1.375,26.4,Aesthetics,16.07,Cut
196,67,46,1,1.2,12.77,Health,17.44,Bulk
161,69,41,0,1.55,16.4,Aesthetics,26.62,Lean
165,60,38,1,1.55,19.56,Health,22.04,Lean
173,98,45,1,1.725,12.6,Aesthetics,32.74,Lean
168,117,25,0,1.55,9.47,Aesthetics,41.45,Lean
157,45,23,1,1.2,36.07,Aesthetics,18.26,Cut
180,86,59,0,1.55,8.38,Health,26.54,Lean
170,63,40,1,1.375,9.96,Health,21.8,Bulk
166,78,37,0,1.725,33.76,Aesthetics,28.31,Cut
172,99,30,0,1.725,17.02,Health,33.46,Lean
186,62,56,0,1.2,31.13,Health,17.92,Cut
165,78,25,0,1.55,12.68,Strength,28.65,Lean
155,89,35,0,1.55,15.59,Aesthetics,37.04,Lean
157,50,56,1,1.2,26.33,Health,20.28,Cut
174,65,38,1,1.2,39.64,Health,21.47,Cut
167,114,16,0,1.375,10.35,Health,40.88,Lean
174,92,17,1,1.2,20.82,Health,30.39,Recomp
161,83,34,1,1.55,9.38,Strength,32.02,Lean
164,75,29,1,1.375,14.38,Health,27.89,Lean
175,54,23,0,1.725,37.04,Health,17.63,Cut
190,74,53,0,1.55,11.09,Strength,20.5,Bulk
194,62,27,1,1.725,35.42,Aesthetics,16.47,Cut
175,104,41,0,1.725,13.69,Aesthetics,33.96,Lean
196,117,42,0,1.725,35.58,Strength,30.46,Cut
181,59,44,1,1.55,25.22,Aesthetics,18.01,Cut
159,48,30,0,1.725,36.1,Aesthetics,18.99,Cut
165,107,16,0,1.55,12.85,Strength,39.3,Lean
156,84,58,0,1.725,32.39,Health,34.52,Cut
166,53,43,0,1.2,29.78,Strength,19.23,Cut
172,53,18,0,1.2,25.37,Strength,17.92,Cut
175,70,33,1,1.55,33.94,Strength,22.86,Cut
170,48,49,0,1.725,28.74,Strength,16.61,Cut
171,60,47,0,1.725,36.07,Strength,20.52,Cut
156,59,44,1,1.725,20.19,Health,24.24,Recomp
163,96,40,1,1.2,26.88,Aesthetics,36.13,Cut
164,113,41,0,1.725,35.86,Strength,42.01,Cut
156,49,54,1,1.725,14.87,Health,20.13,Bulk
158,64,23,0,1.55,23.54,Strength,25.64,Cut
197,62,34,1,1.725,38.74,Health,15.98,Cut
157,46,57,0,1.2,23.16,Aesthetics,18.66,Cut
199,57,37,1,1.725,16.09,Health,14.39,Lean
172,48,44,0,1.2,19.23,Health,16.22,Recomp
178,86,48,1,1.2,36.32,Aesthetics,27.14,Cut
167,118,53,0,1.375,38.56,Aesthetics,42.31,Cut
180,105,50,0,1.2,38.4,Health,32.41,Cut
179,52,58,0,1.375,30.37,Strength,16.23,Cut
188,111,18,1,1.375,24.31,Strength,31.41,Cut
184,107,34,1,1.725,13.85,Aesthetics,31.6,Lean
167,53,25,0,1.375,11.94,Strength,19,Bulk
191,55,42,0,1.55,9.91,Aesthetics,15.08,Bulk
188,86,30,0,1.2,8.57,Health,24.33,Lean
166,57,26,0,1.55,36.1,Health,20.69,Cut
163,80,41,1,1.375,33.89,Strength,30.11,Cut
180,57,39,1,1.725,26.17,Aesthetics,17.59,Cut
173,56,28,1,1.2,39.96,Strength,18.71,Cut
184,81,47,0,1.55,38.5,Strength,23.92,Cut
193,118,52,0,1.725,28.96,Health,31.68,Cut
194,117,19,1,1.375,22.87,Strength,31.09,Cut
183,96,28,1,1.725,12.87,Health,28.67,Lean
152,115,24,1,1.55,24.5,Aesthetics,49.77,Cut
186,46,49,1,1.725,13.05,Strength,13.3,Bulk
192,100,52,0,1.55,20.75,Health,27.13,Recomp
189,104,22,0,1.725,38.16,Strength,29.11,Cut
175,67,16,0,1.2,18.94,Aesthetics,21.88,Lean
172,84,27,1,1.725,12.89,Strength,28.39,Lean
193,108,36,0,1.2,26.64,Strength,28.99,Cut
188,67,26,1,1.55,27.28,Health,18.96,Cut
164,73,59,1,1.2,14.2,Aesthetics,27.14,Lean
198,95,59,1,1.725,14.29,Aesthetics,24.23,Lean
153,113,59,1,1.2,39.67,Aesthetics,48.27,Cut
178,75,29,1,1.55,15.78,Strength,23.67,Lean
171,94,49,0,1.725,34.82,Health,32.15,Cut
174,64,49,0,1.2,23.05,Strength,21.14,Cut
162,99,40,0,1.2,21.92,Strength,37.72,Lean
167,46,19,1,1.375,17.44,Strength,16.49,Lean
182,69,41,0,1.2,32.76,Aesthetics,20.83,Cut
165,57,31,1,1.375,36.18,Health,20.94,Cut
194,114,25,0,1.55,16.36,Aesthetics,30.29,Lean
191,111,17,1,1.375,11.04,Strength,30.43,Lean
193,102,50,1,1.55,12.38,Strength,27.38,Lean
151,119,34,0,1.2,33.37,Health,52.19,Cut
184,108,21,1,1.2,21.95,Aesthetics,31.9,Lean
191,113,34,0,1.375,12.22,Strength,30.98,Lean
183,103,23,0,1.55,18.89,Strength,30.76,Lean
179,104,29,0,1.2,24.46,Health,32.46,Cut
162,106,25,1,1.375,35.27,Strength,40.39,Cut
162,60,18,1,1.375,28.54,Aesthetics,22.86,Cut
167,112,53,1,1.375,13.63,Aesthetics,40.16,Lean
181,59,44,1,1.2,13.08,Strength,18.01,Bulk
181,99,30,0,1.55,21.19,Strength,30.22,Lean
184,79,38,1,1.2,10.41,Strength,23.33,Lean
188,99,38,0,1.725,32.18,Health,28.01,Cut
195,58,33,0,1.725,20.85,Health,15.25,Recomp
178,93,34,1,1.2,18.98,Aesthetics,29.35,Lean
198,51,43,1,1.55,24.29,Aesthetics,13.01,Cut
178,74,41,0,1.375,30.69,Strength,23.36,Cut
193,93,25,1,1.725,26.22,Strength,24.97,Cut
165,60,19,0,1.725,33.68,Strength,22.04,Cut
193,95,17,1,1.2,28.14,Health,25.5,Cut
196,116,18,1,1.725,33.22,Health,30.2,Cut
159,86,22,0,1.725,30.3,Strength,34.02,Cut
179,61,31,0,1.375,14.18,Strength,19.04,Bulk
174,107,46,0,1.375,9.68,Aesthetics,35.34,Lean
188,89,25,1,1.55,36.91,Health,25.18,Cut
169,51,34,1,1.725,38.26,Strength,17.86,Cut
154,71,43,1,1.55,31.26,Health,29.94,Cut
150,54,32,0,1.55,31.17,Strength,24,Cut
179,78,43,0,1.375,16.64,Strength,24.34,Lean
198,80,34,1,1.375,25.36,Aesthetics,20.41,Cut
152,69,52,0,1.2,39.75,Aesthetics,29.86,Cut
194,50,38,1,1.375,35.4,Aesthetics,13.29,Cut
163,68,35,0,1.55,17.74,Strength,25.59,Lean
179,62,28,1,1.725,17.63,Aesthetics,19.35,Lean
199,50,28,1,1.55,23.47,Strength,12.63,Cut
153,73,58,1,1.55,20.95,Health,31.18,Recomp
167,69,26,0,1.55,19.88,Health,24.74,Lean
186,99,30,0,1.375,28.06,Strength,28.62,Cut
174,90,32,1,1.55,8.37,Aesthetics,29.73,Lean
197,68,43,1,1.2,32.43,Aesthetics,17.52,Cut
150,119,34,1,1.725,31.68,Health,52.89,Cut
195,70,19,1,1.375,34.57,Strength,18.41,Cut
164,72,37,1,1.55,34.93,Strength,26.77,Cut
158,47,37,1,1.2,26.12,Strength,18.83,Cut
164,119,52,0,1.725,32.96,Health,44.24,Cut
198,82,54,0,1.55,23.76,Health,20.92,Cut
173,105,49,0,1.725,38.45,Aesthetics,35.08,Cut
153,95,48,0,1.375,14.1,Strength,40.58,Lean
161,92,59,1,1.375,37.3,Strength,35.49,Cut
186,65,57,1,1.2,16.27,Strength,18.79,Lean
186,98,55,1,1.375,11.29,Strength,28.33,Lean
192,100,48,0,1.2,22.05,Health,27.13,Cut
155,103,27,0,1.55,27.68,Aesthetics,42.87,Cut
188,116,17,1,1.725,15.39,Health,32.82,Lean
195,95,43,0,1.375,25.79,Aesthetics,24.98,Cut
173,64,25,0,1.725,33.85,Strength,21.38,Cut
160,103,37,1,1.725,16.23,Strength,40.23,Lean
162,115,32,1,1.55,26.57,Strength,43.82,Cut
183,53,41,1,1.55,18.86,Strength,15.83,Lean
174,45,18,0,1.375,24.95,Strength,14.86,Cut
156,73,22,1,1.55,29.34,Health,30,Cut
153,107,59,1,1.725,19.21,Aesthetics,45.71,Lean
157,116,23,1,1.2,39.82,Health,47.06,Cut
169,100,35,0,1.2,26.04,Strength,35.01,Cut
178,112,27,0,1.2,34.38,Aesthetics,35.35,Cut
194,79,50,1,1.375,31.2,Aesthetics,20.99,Cut
195,47,32,1,1.55,35.29,Strength,12.36,Cut
159,51,43,0,1.55,13.56,Aesthetics,20.17,Bulk
192,71,56,0,1.55,15.12,Health,19.26,Lean
183,45,25,1,1.55,23.6,Health,13.44,Cut
175,115,37,0,1.725,35.27,Health,37.55,Cut
190,88,53,1,1.2,14.32,Health,24.38,Lean
198,85,48,1,1.725,39.07,Aesthetics,21.68,Cut
152,119,37,0,1.375,12.08,Health,51.51,Lean
155,86,59,1,1.2,13.6,Aesthetics,35.8,Lean
154,77,52,1,1.2,13.35,Strength,32.47,Lean
154,94,28,0,1.725,26.75,Health,39.64,Cut
196,107,42,1,1.375,37.36,Strength,27.85,Cut
172,81,30,0,1.375,16.16,Health,27.38,Lean
198,103,37,1,1.2,25.7,Strength,26.27,Cut
158,92,45,1,1.55,13.62,Strength,36.85,Lean
184,49,58,0,1.375,28.2,Strength,14.47,Cut
169,92,55,0,1.725,11.94,Strength,32.21,Lean
198,47,52,0,1.375,23.72,Strength,11.99,Cut
191,91,49,0,1.2,28.97,Aesthetics,24.94,Cut
184,106,59,0,1.55,26.53,Aesthetics,31.31,Cut
199,58,49,0,1.375,12.48,Health,14.65,Bulk
167,107,50,1,1.2,13.16,Aesthetics,38.37,Lean
166,105,57,0,1.375,29.48,Strength,38.1,Cut
173,75,34,1,1.55,33.89,Aesthetics,25.06,Cut
152,61,23,0,1.725,37.06,Aesthetics,26.4,Cut
181,68,54,1,1.2,34.04,Strength,20.76,Cut
184,67,48,1,1.2,39.17,Aesthetics,19.79,Cut
187,94,59,0,1.55,21.06,Strength,26.88,Lean
162,114,43,1,1.2,18.6,Aesthetics,43.44,Lean
196,71,52,1,1.55,8.9,Strength,18.48,Bulk
174,59,40,1,1.2,22.4,Health,19.49,Cut
158,94,51,0,1.55,28.84,Aesthetics,37.65,Cut
153,80,32,0,1.375,34.09,Health,34.17,Cut
163,52,39,1,1.375,16.56,Strength,19.57,Lean
186,47,36,0,1.375,24.43,Strength,13.59,Cut
183,106,17,0,1.2,29.18,Health,31.65,Cut
160,91,46,1,1.55,25.65,Strength,35.55,Cut
190,105,59,1,1.55,16.77,Strength,29.09,Lean
